region,flight_type,share_of_total_km,short_km_pct,long_km_pct
AFE,Domestic,6.141829795228328,56.49753521144593,43.50246478855407
AFE,International,93.85817020477167,1.5586655865298678,98.44133441347014
AFN,Domestic,4.710860281340494,35.67277983860043,64.32722016139958
AFN,International,95.2891397186595,0.6486137172445579,99.35138628275544
AFW,Domestic,3.742266203026951,49.67257113863709,50.32742886136291
AFW,International,96.25773379697304,3.1110942119713747,96.88890578802862
AFZ,Domestic,13.958908756093255,23.176320729220603,76.8236792707794
AFZ,International,86.04109124390675,1.4061762144793946,98.59382378552061
ANZ,Domestic,28.46080295583467,10.960322452503695,89.03967754749631
ANZ,International,71.53919704416535,0.0,100.0
ASC,Domestic,9.219508962872748,14.150743308861482,85.8492566911385
ASC,International,90.78049103712725,0.7829175922641691,99.21708240773583
ASE,Domestic,8.65357438058512,37.745884342533365,62.25411565746665
ASE,International,91.34642561941489,0.7102922867273913,99.2897077132726
ASO,Domestic,6.902453979396135,38.81220049640121,61.1877995035988
ASO,International,93.09754602060384,0.8030352861509611,99.19696471384904
BRA,Domestic,46.89003904469554,16.091818866348255,83.90818113365175
BRA,International,53.109960955304444,0.0,100.0
CAN,Domestic,24.273613491663532,21.07927895281526,78.92072104718474
CAN,International,75.72638650833646,0.46070257854957,99.53929742145043
CHL,Domestic,23.13517277277734,10.730625398502301,89.2693746014977
CHL,International,76.86482722722263,0.42821745732515554,99.57178254267484
CHN,Domestic,60.83148829940448,3.740005115847163,96.25999488415285
CHN,International,39.16851170059551,0.5025612619723263,99.49743873802768
ENE,Domestic,2.1350752783845675,57.28547872448358,42.71452127551641
ENE,International,97.86492472161544,2.2716125017082693,97.72838749829172
ENW,Domestic,2.857417500652602,49.211131481178846,50.78886851882116
ENW,International,97.14258249934741,1.2308626366156932,98.7691373633843
EUE,Domestic,1.5219023276545043,100.0,0.0
EUE,International,98.4780976723455,2.029491057480069,97.97050894251993
EUM,Domestic,8.543743526333703,19.731173567362305,80.2688264326377
EUM,International,91.4562564736663,0.7928119582198169,99.20718804178019
EUW,Domestic,1.9587009675849083,61.62859752415032,38.37140247584968
EUW,International,98.0412990324151,1.5282874313814803,98.47171256861851
IDN,Domestic,30.961960302496482,19.86969237817143,80.13030762182858
IDN,International,69.03803969750352,0.5919927680926745,99.40800723190732
IND,Domestic,34.74254869331821,16.14481506221601,83.85518493778397
IND,International,65.25745130668177,0.40987202540575896,99.59012797459424
JPN,Domestic,14.984334577007097,14.282895520194394,85.71710447980561
JPN,International,85.01566542299291,0.09617606817626763,99.90382393182374
LAM,Domestic,10.514340779329624,35.13946771366616,64.86053228633384
LAM,International,89.48565922067037,2.4297274472647454,97.57027255273526
MDA,Domestic,8.093914856347508,15.650754543865425,84.34924545613457
MDA,International,91.90608514365249,0.4223621335250756,99.57763786647492
MEA,Domestic,5.966330495599661,14.095923313125205,85.9040766868748
MEA,International,94.03366950440034,1.2702604964907653,98.72973950350922
MEX,Domestic,29.79141704183824,8.42848298721208,91.57151701278792
MEX,International,70.20858295816174,0.3344630595443002,99.6655369404557
NIG,Domestic,12.4597362469354,68.58480733835043,31.41519266164957
NIG,International,87.54026375306461,1.2461716134238003,98.7538283865762
RUS,Domestic,40.430257857367266,2.177993085656642,97.82200691434336
RUS,International,59.56974214263274,0.2305825478055557,99.76941745219446
SKT,Domestic,1.3890404935727543,100.0,0.0
SKT,International,98.61095950642726,0.5489044118472871,99.45109558815271
USA,Domestic,53.300742209467714,5.1669308911232,94.8330691088768
USA,International,46.699257790532286,0.1951402657400116,99.80485973425999
